player_name_clean,year_ahead,Efficiency,Impact,Interior_Defense,Perimeter_Defense,Playmaking,Rebounding,Scoring,Shooting
aaron gordon,1,0.008337,-0.0026,0.010893,-0.012338,0.007326,0.007381,-0.01875,-0.014511
aaron gordon,2,4.2e-05,-0.005444,0.001721,-0.01185,0.010124,0.011516,-0.021908,-0.011922
aaron gordon,3,-0.0156,-0.01906,-0.010888,-0.018089,-0.002007,0.010431,-0.02111,-0.018586
aaron gordon,4,-0.006911,-0.0161,-0.000704,-0.027818,0.009626,0.002925,-0.026617,-0.022565
aaron gordon,5,-0.012646,0.004958,-0.014535,-0.022417,0.005841,0.007651,-0.026551,-0.026128
aaron holiday,1,0.016804,0.048643,-0.008291,0.066999,0.044649,0.046761,0.052471,0.052371
aaron holiday,2,0.008954,0.036107,-0.008342,0.04541,0.044499,0.039166,0.037747,0.04039
aaron holiday,3,0.005065,0.03908,-0.009974,0.05144,0.048257,0.042438,0.031336,0.032887
aaron holiday,4,0.009346,0.03312,-0.010745,0.053157,0.05488,0.040389,0.025319,0.028008
aaron holiday,5,0.008812,0.039053,-0.011555,0.040699,0.053073,0.051627,0.03241,0.034663
aaron nesmith,1,0.011616,-0.00244,-0.001076,-0.00942,0.025912,0.008903,0.014942,0.0153
aaron nesmith,2,0.007459,-0.00632,-0.001182,0.004083,0.012278,0.001009,0.000745,0.007925
aaron nesmith,3,0.012165,-0.010686,-0.001056,-0.009342,0.006704,0.003434,0.0013,-1.8e-05
aaron nesmith,4,0.00464,-0.006067,-0.001572,-0.000247,0.019299,0.003579,0.009515,0.011671
aaron nesmith,5,0.008146,-0.008823,0.000536,-0.027264,0.011239,-0.009038,-0.00436,-0.00114
aaron wiggins,1,0.02636,-0.001793,-0.004439,0.013192,0.041767,0.024862,0.032422,0.033504
aaron wiggins,2,0.023876,-0.004169,-0.001801,0.011491,0.042134,0.02759,0.027091,0.02557
aaron wiggins,3,0.019715,-0.005525,-0.001734,0.014823,0.036304,0.011848,0.0094,0.009183
aaron wiggins,4,0.013708,-0.010216,-0.000831,0.009651,0.024096,0.005168,-0.0017,0.0012
aaron wiggins,5,0.012256,-0.004538,-0.002167,0.007283,0.019673,0.008258,0.003845,0.007396
ace bailey,1,0.027524,0.109055,0.006007,0.045071,0.036526,0.015196,0.020639,0.022439
ace bailey,2,0.01916,0.014409,0.002283,0.050616,0.0286,0.019065,0.0162,0.0172
ace bailey,3,0.016275,0.003904,0.004188,0.045353,0.049328,0.009702,0.017076,0.018227
