player_name_clean,year_ahead,Shooting,Playmaking,Perimeter_Defense,Interior_Defense,Rebounding,Scoring,Efficiency,Impact
aaron gordon,1,-0.0173,-0.0133,-0.0426,-0.0222,-0.0211,-0.0199,-0.0008,-0.0236
aaron gordon,2,-0.0137,-0.0057,-0.0455,-0.0289,-0.0147,-0.0206,-0.0077,-0.0259
aaron gordon,3,-0.0191,-0.0192,-0.0483,-0.0405,-0.0185,-0.0212,-0.0158,-0.0393
aaron gordon,4,-0.023,-0.0064,-0.0591,-0.0304,-0.0275,-0.0267,-0.0128,-0.0364
aaron gordon,5,-0.0266,-0.0118,-0.0553,-0.0466,-0.0221,-0.0285,-0.0133,-0.0149
aaron holiday,1,0.0324,0.0247,0.0474,0.0434,0.0287,0.0325,-0.0022,0.0185
aaron holiday,2,0.0208,0.0232,0.0296,0.0357,0.0231,0.0205,-0.0103,0.0177
aaron holiday,3,0.0107,0.0309,0.035,0.0373,0.0269,0.0101,-0.0151,0.0178
aaron holiday,4,0.0046,0.0359,0.0373,0.0421,0.0228,0.0018,-0.0111,0.0186
aaron holiday,5,0.019,0.0341,0.0303,0.0409,0.038,0.0159,-0.0125,0.0195
aaron nesmith,1,-0.0059,0.0064,-0.0321,-0.0075,-0.0093,-0.0089,-0.0076,-0.0287
aaron nesmith,2,-0.0142,-0.0098,-0.021,-0.0085,-0.017,-0.0197,-0.0131,-0.0276
aaron nesmith,3,-0.0192,-0.0115,-0.0296,-0.0132,-0.0151,-0.0193,-0.0078,-0.03
aaron nesmith,4,-0.0114,-0.0015,-0.0195,-0.0068,-0.0129,-0.011,-0.0155,-0.0253
aaron nesmith,5,-0.0246,-0.0099,-0.0448,-0.0267,-0.0284,-0.026,-0.0126,-0.0292
aaron wiggins,1,0.012,0.0214,-0.0133,0.0108,0.0025,0.0106,0.0024,-0.0216
aaron wiggins,2,0.0047,0.0213,-0.0084,-0.0047,0.0036,0.0069,0.0005,-0.0241
