player_name_clean,year_ahead,attribute,value,percentile
aaron gordon,0,Efficiency,83.493137,82.4
aaron gordon,0,Impact,70.469024,88.0
aaron gordon,0,Interior_Defense,59.731007,54.3
aaron gordon,0,Perimeter_Defense,53.142362,27.9
aaron gordon,0,Playmaking,52.014575,59.5
aaron gordon,0,Rebounding,57.034856,76.8
aaron gordon,0,Scoring,67.620102,81.8
aaron gordon,0,Shooting,61.448541,55.5
aaron gordon,1,Efficiency,82.5139620284195,80.2
aaron gordon,1,Impact,67.9252188776245,82.4
aaron gordon,1,Interior_Defense,60.1993699274368,52.7
aaron gordon,1,Perimeter_Defense,53.7695218339081,24.2
aaron gordon,1,Playmaking,52.1201663716555,58.3
aaron gordon,1,Rebounding,61.7283069277344,80.4
aaron gordon,1,Scoring,69.5697636125107,82.6
aaron gordon,1,Shooting,60.8059454704437,57.1
aaron gordon,2,Efficiency,81.0892276744003,72.7
aaron gordon,2,Impact,66.3602386091461,77.4
aaron gordon,2,Interior_Defense,60.2481994829483,51.1
aaron gordon,2,Perimeter_Defense,54.8486400857086,25.7
aaron gordon,2,Playmaking,52.2696830584526,57.1
aaron gordon,2,Rebounding,67.2064887667236,85.6
aaron gordon,2,Scoring,71.7981428620834,83.2
aaron gordon,2,Shooting,60.4927129293594,56.3
aaron gordon,3,Efficiency,80.2224787453766,67.9
aaron gordon,3,Impact,67.164566499423,78.4
aaron gordon,3,Interior_Defense,60.1187614999123,47.5
aaron gordon,3,Perimeter_Defense,55.9277583375092,24.4
aaron gordon,3,Playmaking,52.2388136452854,53.3
aaron gordon,3,Rebounding,66.3765705013809,85.4
aaron gordon,3,Scoring,73.8457626817246,83.8
aaron gordon,3,Shooting,59.8071821476135,53.1
aaron gordon,4,Efficiency,79.6003007868881,64.3
aaron gordon,4,Impact,68.0613424454441,80.4
aaron gordon,4,Interior_Defense,59.9893235168762,48.3
aaron gordon,4,Perimeter_Defense,57.121344925415,24.6
aaron gordon,4,Playmaking,52.1118545002162,47.5
aaron gordon,4,Rebounding,68.4987810040054,88.0
aaron gordon,4,Scoring,76.212800931694,84.6
aaron gordon,4,Shooting,60.3354099537048,50.5
aaron gordon,5,Efficiency,79.2310856560822,60.1
aaron gordon,5,Impact,68.7255563412418,80.0
aaron gordon,5,Interior_Defense,59.4478624961681,45.3
aaron gordon,5,Perimeter_Defense,57.3902052655334,23.0
aaron gordon,5,Playmaking,52.0766197434485,42.7
aaron gordon,5,Rebounding,67.2653081799087,86.2
aaron gordon,5,Scoring,78.361669492485,85.4
aaron gordon,5,Shooting,60.8575261379395,48.7
aaron holiday,0,Efficiency,80.080219,57.3
aaron holiday,0,Impact,60.171117,40.9
aaron holiday,0,Interior_Defense,56.227823,25.7
aaron holiday,0,Perimeter_Defense,57.480185,56.1
aaron holiday,0,Playmaking,53.729852,64.9
aaron holiday,0,Rebounding,28.483807,1.4
aaron holiday,0,Scoring,49.154033,43.5
